USER_ID,FIRST_NAME,LAST_NAME,USER_NAME,EMAIL,PASSWORD,GENDER,BIRTHDAY,PROFILE_PIC,BIO
1,Pedro,Penduko,encantadiaWarrio69,pedro_penduko@gmail.com,mahal kita maria,Male,23/06/2002 12:00:00 am,hehe.png,single ready to mingle
2,Cardo,Dalisay,pilipinoCOD_life,cardo@gmail.com,cod iz ril layp,Male,23/04/1969 12:00:00 am,bangbang.png,bawal ang droga, patayin kita jan
3,Chito,Miranda,idol ng Pinas,CHMiranda@gmail.com,neri naig,Male,11/04/1969 12:00:00 am,trending.png,sarap neto ah
4,Wally,Bayola,TiradorNGDancer,WBayola@yahoo.com,wally is my name 123,Male,11/12/1979 12:00:00 am,trending2.png,basta eb babes alam na
5,John,Cena,CantSeeMe,WBayola@yahoo.com,MyNameIsJohnCena,Male,11/12/2000 12:00:00 am,cantsee.png,you cant' see me
6,Dwayne,Johnson,The Rock,TheRock@gmail.com,Its about drive,Male,11/12/2000 12:00:00 am,rock.png,It's about drive, we stay hungry, we devour
7,Patrick,Bateman,InsaneMan45,PaulAllen@gmail.com,I can't believe that bryce prefer paul's card,Male,11/12/2008 12:00:00 am,grind.png,My sanity is slipping away
8,Algilbert,Gomez,yah~ yahyahyah~ tsahahaha,jepoydizon@gmail.com,hello world,Male,20/08/2002 12:00:00 am,hehe.png,onii-chan kimochii
9,Lito,Lapid,english_iz_hard_af,lito_lapid@yahoo.com,helloo,Female,07/12/1989 12:00:00 am,bilis.jpeg,wag mo aq ingles inglesin
10,James,Esparragoo,lessgo,jims@gmail.com,lezzgo,Female,27/02/1789 12:00:00 am,james.png,lezzgooo
11,kenneth2,seva,kenneth,noemail@rmail,1234,Male,12/12/2023 12:00:00 am,noimage,nobio
14,fake kenneth,seva,kenneth,noemail@rmail,1234,Male,12/12/2023 12:00:00 am,noimage,nobio

